queue_type n_threads config batch_size time_limit total_values throughput enq_count deq_count failed_deq_count duration_ns freelist_pushes freelist_pops freelist_max_size malloc_count reused_count successful_CAS_ops failed_CAS_ops
3 1 a 1 0.25 20000 8.92158568299722 20000.0 20001.0 1.0 4483620.0 20000.0 19999.0 1.0 1.0 19999.0 0.0 0.0
3 8 a 1 0.25 20000 1.6635751147325444 20000.0 20008.0 8.0 24049410.0 20000.0 19986.0 2.0 14.0 19986.0 0.0 0.0
3 20 a 1 0.25 20000 2.2561233920223263 20000.0 20020.0 20.0 17738391.5 20000.0 19962.0 2.0 38.0 19962.0 0.0 0.0
3 64 a 1 0.25 20000 5.770789855975841 20000.0 20064.0 64.0 6942550.5 20000.0 19875.5 2.0 124.5 19875.5 0.0 0.0
3 1 b 1 0.25 20000 6.047983186606741 20000.0 0.0 0.0 3306887.5 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
3 8 b 1 0.25 20000 1.8613314120960196 20000.0 27901.0 7901.0 25734804.5 20000.0 0.0 4767.0 20000.0 0.0 0.0 0.0
3 20 b 1 0.25 20000 2.487034128927569 20000.0 22276.5 2276.5 16998761.5 20000.0 0.0 3109.0 20000.0 0.0 0.0 0.0
3 64 b 1 0.25 20000 2.5503239237822406 20000.0 25117.5 5117.5 17690890.0 20000.0 0.0 2084.5 20000.0 0.0 0.0 0.0
3 1 c 1 0.25 20000 6.715506715506716 0.0 11.0 11.0 1638.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
3 8 c 1 0.25 20000 2.5253362806256807 20000.0 20049.5 49.5 15859076.0 20000.0 0.0 6827.5 20000.0 0.0 0.0 0.0
3 20 c 1 0.25 20000 2.5897308301785635 20000.0 20127.0 127.0 15494660.5 20000.0 0.0 5910.5 20000.0 0.0 0.0 0.0
3 64 c 1 0.25 20000 4.423278747935727 20000.0 30932.5 10932.5 11514648.5 20000.0 0.0 9301.0 20000.0 0.0 0.0 0.0
3 1 d 1 0.25 20000 5.691597380954549 20000.0 0.0 0.0 3513952.0 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
