queue_type n_threads config batch_size time_limit total_values throughput enq_count deq_count failed_deq_count duration_ns freelist_pushes freelist_pops freelist_max_size malloc_count reused_count successful_CAS_ops failed_CAS_ops
6 1 a 1 0.25 20000 3.861901656139949 20000.0 20001.0 1.0 10357850.5 20000.0 19999.5 1.0 0.5 19999.5 60000.0 0.0
6 8 a 1 0.25 20000 4.713192993873014 20000.0 20008.0 8.0 8488513.0 20000.0 19985.5 2.0 14.5 19985.5 60000.0 666.5
6 20 a 1 0.25 20000 15.954689002168156 20000.0 20020.0 20.5 2508353.5 19999.5 19961.5 2.0 38.5 19961.5 59999.5 1232.5
6 64 a 1 0.25 20000 17.40042119929311 20000.0 20064.0 64.5 2302473.0 19999.5 19874.0 2.0 126.0 19874.0 59999.5 4564.0
6 1 b 1 0.25 20000 2.8225692069272057 20000.0 0.0 0.0 7085743.0 0.0 1.0 0.0 19999.0 1.0 40000.0 0.0
6 8 b 1 0.25 20000 2.3992347838014587 20000.0 73893.0 53893.0 39134561.0 20000.0 0.0 3527.0 20000.0 0.0 60000.0 53068.5
6 20 b 1 0.25 20000 1.9406765868917417 20000.0 93742.0 73742.0 58609456.5 20000.0 0.0 1735.5 20000.0 0.0 60000.0 84576.0
6 64 b 1 0.25 20000 1.9024403255045363 20000.0 98292.5 78292.5 62179348.5 20000.0 0.0 738.0 20000.0 0.0 60000.0 109023.0
6 1 c 1 0.25 20000 4.306126443531024 0.0 11.0 11.0 2554.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 8 c 1 0.25 20000 4.459281558359179 20000.0 21870.5 1870.5 9389517.0 20000.0 0.0 6669.5 20000.0 0.0 60000.0 4763.0
6 20 c 1 0.25 20000 6.818522099291633 20000.0 25313.0 5313.0 6645575.0 20000.0 0.0 3192.5 20000.0 0.0 60000.0 2666.5
6 64 c 1 0.25 20000 11.275950197202935 20000.0 20544.5 544.5 3595661.5 20000.0 0.0 2394.0 20000.0 0.0 60000.0 7171.5
6 1 d 1 0.25 20000 2.7439867245922263 20000.0 0.0 0.0 7288665.0 0.0 0.0 0.0 20000.0 0.0 40000.0 0.0
6 8 d 1 0.25 20000 2.6556097316541765 20000.0 20489.5 489.5 15246781.0 20000.0 0.0 5478.0 20000.0 0.0 60000.0 3418.5
6 20 d 1 0.25 20000 4.9223315817925135 20000.0 21699.5 1699.5 8471493.5 20000.0 0.0 3836.5 20000.0 0.0 60000.0 12658.5
6 64 d 1 0.25 20000 5.088470579659967 20000.0 28867.0 8867.0 9603475.0 20000.0 0.0 1827.5 20000.0 0.0 60000.0 19084.0
6 1 a 1 1 20000 3.9132359451084553 20000.0 20001.0 1.0 10221975.0 20000.0 19999.5 1.0 0.5 19999.5 60000.0 0.0
6 8 a 1 1 20000 3.96387217047266 20000.0 20008.0 8.0 10093161.0 20000.0 19985.5 2.5 14.5 19985.5 60000.0 470.0
6 20 a 1 1 20000 10.804388331098616 20000.0 20020.0 20.5 3704050.5 19999.5 19962.5 2.5 37.5 19962.5 59999.5 1589.0
6 64 a 1 1 20000 11.11290945117389 20000.0 20064.0 64.0 3605176.5 20000.0 19875.0 2.0 125.0 19875.0 60000.0 9750.0
6 1 b 1 1 20000 2.9113005332629185 20000.0 0.0 0.0 6869782.0 0.0 1.0 0.0 19999.0 1.0 40000.0 0.0
6 8 b 1 1 20000 2.1311109228164598 20000.0 82591.0 62591.0 48139681.0 20000.0 0.0 4074.5 20000.0 0.0 60000.0 54521.0
6 20 b 1 1 20000 2.2286383693576144 20000.0 89512.0 69512.0 49138524.0 20000.0 0.0 1807.5 20000.0 0.0 60000.0 78091.5
6 64 b 1 1 20000 1.9346315480332668 20000.0 116798.5 96798.5 70710363.5 20000.0 0.0 773.0 20000.0 0.0 60000.0 96894.5
6 1 c 1 1 20000 4.365079365079366 0.0 11.0 11.0 2520.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 8 c 1 1 20000 4.197351989445847 20000.0 29141.0 9141.0 11707619.5 20000.0 0.0 5767.0 20000.0 0.0 60000.0 15746.0
6 20 c 1 1 20000 14.58036383303568 20000.0 20114.0 114.0 2751234.5 20000.0 0.0 3114.0 20000.0 0.0 60000.0 12.5
6 64 c 1 1 20000 26.102364469424383 20000.0 20385.5 385.5 1547197.0 20000.0 0.0 2688.0 20000.0 0.0 60000.0 977.5
6 1 d 1 1 20000 2.732706527882522 20000.0 0.0 0.0 7318751.5 0.0 0.0 0.0 20000.0 0.0 40000.0 0.0
6 8 d 1 1 20000 3.768750366014731 20000.0 24115.0 4115.0 11705471.5 20000.0 0.0 5578.5 20000.0 0.0 60000.0 9921.0
6 20 d 1 1 20000 5.162852313576053 20000.0 24169.5 4169.5 8555251.5 20000.0 0.0 4186.5 20000.0 0.0 60000.0 16803.5
6 64 d 1 1 20000 6.513659752945955 20000.0 30299.5 10299.5 7722156.5 20000.0 0.0 1975.5 20000.0 0.0 60000.0 22230.5
6 1 a 1000 0.25 20000 4.579993638277129 20000.0 21000.0 1000.0 8951977.5 20000.0 19500.0 1000.0 500.0 19500.0 60000.0 0.0
6 8 a 1000 0.25 20000 4.879966683136555 20000.0 24000.0 4000.0 9016455.0 20000.0 12273.5 1415.0 7726.5 12273.5 60000.0 649.5
6 20 a 1000 0.25 20000 5.307844122241596 20000.0 40000.0 20000.0 11304024.5 20000.0 1000.0 1991.0 19000.0 1000.0 60000.0 6685.0
6 64 a 1000 0.25 20000 4.663762179220607 20000.0 64000.0 44000.0 18011210.0 20000.0 313.0 2549.5 19687.0 313.0 60000.0 12831.0
6 1 b 1000 0.25 20000 3.397394894581809 20000.0 0.0 0.0 5886863.5 0.0 1342.0 0.0 18658.0 1342.0 40000.0 0.0
6 8 b 1000 0.25 20000 2.206160398651302 20000.0 85500.0 65500.0 47820639.0 20000.0 0.0 3405.5 20000.0 0.0 60000.0 55592.0
6 20 b 1000 0.25 20000 2.165641388239387 20000.0 87500.0 67500.0 49638874.0 20000.0 0.0 2065.0 20000.0 0.0 60000.0 70496.0
6 64 b 1000 0.25 20000 2.1917180947535075 20000.0 109500.0 89500.0 59086066.0 20000.0 0.0 1037.5 20000.0 0.0 60000.0 86073.0
6 1 c 1000 0.25 20000 8.759673964935025 0.0 1000.0 1000.0 114159.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
6 8 c 1000 0.25 20000 4.492466386256001 20000.0 24500.0 4500.0 9905472.0 20000.0 0.0 5547.5 20000.0 0.0 60000.0 9050.0
6 20 c 1000 0.25 20000 6.929156074724953 20000.0 24500.0 4500.0 6422138.5 20000.0 0.0 3618.5 20000.0 0.0 60000.0 5142.0
6 64 c 1000 0.25 20000 7.054290758575992 20000.0 44000.0 24000.0 9072492.5 20000.0 0.0 2670.5 20000.0 0.0 60000.0 11028.0
6 1 d 1000 0.25 20000 3.53282676130403 20000.0 0.0 0.0 5661189.0 0.0 0.0 0.0 20000.0 0.0 40000.0 0.0
6 8 d 1000 0.25 20000 4.15896537651978 20000.0 24500.0 4500.0 10699776.5 20000.0 0.0 5271.5 20000.0 0.0 60000.0 8883.0
6 20 d 1000 0.25 20000 6.265165579836097 20000.0 33500.0 13500.0 8539279.5 20000.0 0.0 3973.0 20000.0 0.0 60000.0 24867.5
6 64 d 1000 0.25 20000 6.113608023584676 20000.0 51500.0 31500.0 11695221.5 20000.0 0.0 1537.5 20000.0 0.0 60000.0 19402.0
6 1 a 1000 1 20000 4.483820407463352 20000.0 21000.0 1000.0 9143988.0 20000.0 19500.0 1000.0 500.0 19500.0 60000.0 0.0
6 8 a 1000 1 20000 4.271850673964541 20000.0 24000.0 4000.0 10299985.5 20000.0 12433.5 1495.0 7566.5 12433.5 60000.0 1582.5
6 20 a 1000 1 20000 5.737844209687986 20000.0 40000.0 20000.0 10456889.0 20000.0 1000.0 2104.5 19000.0 1000.0 60000.0 3878.0
