queue_type n_threads config batch_size time_limit total_values throughput enq_count deq_count failed_deq_count duration_ns freelist_pushes freelist_pops freelist_max_size malloc_count reused_count successful_CAS_ops failed_CAS_ops
2 1 a 1 0.25 20000 10.059558642868694 20000.0 20001.0 1.0 3976417.0 20000.0 19999.0 1.0 1.0 19999.0 0.0 0.0
2 8 a 1 0.25 20000 1.2564294932503108 20000.0 20008.0 8.0 31842614.5 20000.0 19992.0 8.0 8.0 19992.0 0.0 0.0
2 20 a 1 0.25 20000 1.478703646894437 20000.0 20020.0 20.0 27064246.5 20000.0 19986.0 14.0 14.0 19986.0 0.0 0.0
2 64 a 1 0.25 20000 2.166423725367941 20000.0 20064.0 64.0 18493150.5 20000.0 19987.5 12.5 12.5 19987.5 0.0 0.0
2 1 b 1 0.25 20000 6.766546532271775 20000.0 0.0 0.0 2955717.5 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
2 8 b 1 0.25 20000 1.7413662906384617 20000.0 75195.5 55195.5 54667131.5 20000.0 19961.5 38.5 38.5 19961.5 0.0 0.0
2 20 b 1 0.25 20000 1.4266445864671746 20000.0 204116.0 184116.0 157093085.5 20000.0 19963.0 37.0 37.0 19963.0 0.0 0.0
2 64 b 1 0.25 20000 1.0246520506980124 3479.0 253729.5 250250.5 251020334.0 3479.0 3404.5 74.5 74.5 3404.5 0.0 0.0
2 1 c 1 0.25 20000 6.573050492978787 0.0 11.0 11.0 1673.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 8 c 1 0.25 20000 1.6673608515345666 20000.0 32533.5 12533.5 31506977.0 20000.0 17961.0 2039.0 2039.0 17961.0 0.0 0.0
2 20 c 1 0.25 20000 1.1269671728381758 16416.5 147250.0 131566.0 145227389.0 15684.0 13770.5 2646.0 2646.0 13770.5 0.0 0.0
2 64 c 1 0.25 20000 1.3427591401757186 11441.5 281578.5 270137.0 218222309.0 11441.5 9161.5 2280.0 2280.0 9161.5 0.0 0.0
2 1 d 1 0.25 20000 7.103537792685736 20000.0 0.0 0.0 2815498.5 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
2 8 d 1 0.25 20000 1.210976491621326 20000.0 50667.0 30667.0 58355385.5 20000.0 17579.0 2421.0 2421.0 17579.0 0.0 0.0
2 20 d 1 0.25 20000 1.7936569304990122 20000.0 130200.0 110200.0 83739536.5 20000.0 17544.0 2456.0 2456.0 17544.0 0.0 0.0
2 64 d 1 0.25 20000 1.2649515508899154 14833.0 233939.5 219106.5 196665635.0 14833.0 14073.0 760.0 760.0 14073.0 0.0 0.0
2 1 a 1 1 20000 10.342918652134195 20000.0 20001.0 1.0 3867477.0 20000.0 19999.0 1.0 1.0 19999.0 0.0 0.0
2 8 a 1 1 20000 1.619465941760551 20000.0 20008.0 8.0 24704440.5 20000.0 19992.0 8.0 8.0 19992.0 0.0 0.0
2 20 a 1 1 20000 2.782712402675034 20000.0 20020.0 20.0 14381651.5 20000.0 19991.0 9.0 9.0 19991.0 0.0 0.0
2 64 a 1 1 20000 3.4922772460538307 20000.0 20064.0 64.0 11472170.5 20000.0 19985.5 14.5 14.5 19985.5 0.0 0.0
2 1 b 1 1 20000 6.66941557745384 20000.0 0.0 0.0 2998763.5 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
2 8 b 1 1 20000 1.3206130240174836 20000.0 53953.5 33953.5 55999372.0 20000.0 19974.5 25.5 25.5 19974.5 0.0 0.0
2 20 b 1 1 20000 1.2869305284331323 20000.0 179408.5 159408.5 154948923.5 20000.0 19940.0 60.0 60.0 19940.0 0.0 0.0
2 64 b 1 1 20000 1.078416395112876 6109.0 1074045.0 1067936.0 1001611256.0 6109.0 6082.0 27.0 27.0 6082.0 0.0 0.0
2 1 c 1 1 20000 7.7057793345008765 0.0 11.0 11.0 1427.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
2 8 c 1 1 20000 1.2402957155840082 20000.0 40144.0 20144.0 48491661.5 20000.0 15154.0 4846.0 4846.0 15154.0 0.0 0.0
2 20 c 1 1 20000 1.9463062065536139 20000.0 84208.0 64208.0 53541421.0 20000.0 14077.5 5922.5 5922.5 14077.5 0.0 0.0
2 64 c 1 1 20000 2.0771639966370112 20000.0 345547.5 325547.5 175983938.0 20000.0 18842.5 1157.5 1157.5 18842.5 0.0 0.0
2 1 d 1 1 20000 6.900311204035302 20000.0 0.0 0.0 2898420.0 0.0 0.0 0.0 20000.0 0.0 0.0 0.0
2 8 d 1 1 20000 1.4947258704508113 20000.0 24906.0 4906.0 30042967.0 20000.0 11939.0 8061.0 8061.0 11939.0 0.0 0.0
2 20 d 1 1 20000 1.6149684302056142 20000.0 43994.5 23994.5 39625852.0 20000.0 16615.5 3384.5 3384.5 16615.5 0.0 0.0
2 64 d 1 1 20000 1.8751966375430846 19841.5 1037184.0 1017342.5 563687817.5 19841.5 19399.0 442.5 442.5 19399.0 0.0 0.0
2 1 a 1000 0.25 20000 15.387909494321393 20000.0 21000.0 1000.0 2664429.5 20000.0 19000.0 1000.0 1000.0 19000.0 0.0 0.0
2 8 a 1000 0.25 20000 1.788931058195208 20000.0 24000.0 4000.0 24595693.5 20000.0 15692.5 4307.5 4307.5 15692.5 0.0 0.0
